,Year,Team
4,1989,HOU
5,1989,POR
6,1989,LAL
7,1989,PHO
8,1989,GSW
9,1989,LAL
10,1989,UTA
11,1989,POR
0,1989,CHI
1,1989,DET
2,1989,PHI
3,1989,ATL
4,1989,ATL
5,1989,CLE
6,1989,MIL
7,1989,CLE
8,1989,NYK
9,1989,BOS
10,1989,NYK
11,1989,CLE
0,1988,BOS
1,1988,ATL
2,1988,CHI
3,1988,DET
4,1988,WSB
5,1988,BOS
6,1988,NYK
7,1988,ATL
8,1988,CLE
9,1988,PHI
10,1988,BOS
11,1988,PHI
0,1988,LAL
1,1988,UTA
2,1988,DEN
3,1988,HOU
4,1988,DEN
5,1988,POR
6,1988,LAL
7,1988,LAL
8,1988,SEA
9,1988,DAL
10,1988,SAS
11,1988,DAL
0,1987,LAL
1,1987,SEA
2,1987,LAL
3,1987,HOU
4,1987,SAS
5,1987,LAL
6,1987,DAL
7,1987,GSW
8,1987,GSW
9,1987,DAL
10,1987,PHO
11,1987,DEN
0,1987,WSB
1,1987,BOS
2,1987,PHI
3,1987,CHI
4,1987,ATL
5,1987,BOS
6,1987,DET
7,1987,PHI
8,1987,WSB
9,1987,DET
10,1987,PHI
11,1987,BOS
0,1986,DET
1,1986,BOS
2,1986,PHI
3,1986,MIL
4,1986,PHI
5,1986,NJN
6,1986,BOS
7,1986,ATL
8,1986,PHI
9,1986,WSB
10,1986,BOS
0,1986,LAL
1,1986,LAL
2,1986,LAL
3,1986,HOU
4,1986,SAS
5,1986,DAL
6,1986,UTA
7,1986,DEN
8,1986,POR
9,1986,HOU
10,1986,SAS
11,1986,LAC
0,1985,LAL
1,1985,HOU
2,1985,SAS
3,1985,LAL
4,1985,UTA
5,1985,DAL
6,1985,LAC
7,1985,PHO
8,1985,HOU
9,1985,DEN
10,1985,SEA
11,1985,DEN
0,1985,PHI
1,1985,BOS
2,1985,DET
3,1985,PHI
4,1985,CHI
5,1985,NYK
6,1985,MIL
7,1985,MIL
